Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  206/1000 |      8s |        -33.56311 |  |   0.786737 |   -37.08283 |
|  207/1000 |      8s |        -33.55251 |  |   0.785066 |   -36.49056 |
|  208/1000 |      8s |        -33.72757 |  |   0.791901 |   -37.39350 |
|  209/1000 |      8s |        -33.67083 |  |   0.788934 |   -37.16191 |
|  210/1000 |      8s |        -33.80495 |  |   0.787474 |   -36.81263 |
|  211/1000 |      8s |        -33.75485 |  |   0.794261 |   -37.61308 |
|  212/1000 |      8s |        -33.76781 |  |   0.784519 |   -37.40233 |
|  213/1000 |      8s |        -33.73232 |  |   0.791041 |   -37.60209 |
|  214/1000 |      8s |        -33.73241 |  |   0.791336 |   -36.79179 |
|  215/1000 |      8s |        -33.86212 |  |   0.788798 |   -37.67164 |
|  216/1000 |      8s |        -33.74559 |  |   0.792042 |   -37.36683 |
|  217/1000 |      8s |        -33.86140 |  |   0.790242 |   -37.03791 |
|  218/1000 |      8s |        -33.80434 |  |   0.787286 |   -36.65112 |
|  219/1000 |      8s |        -33.84665 |  |   0.788270 |   -36.39649 |
|  220/1000 |      8s |        -33.86972 |  |   0.792210 |   -37.41294 |
|  221/1000 |      8s |        -33.94139 |  |   0.792346 |   -37.55041 |
|  222/1000 |      8s |        -33.94815 |  |   0.793698 |   -38.00997 |
|  223/1000 |      8s |        -33.92537 |  |   0.791222 |   -36.86698 |
|  224/1000 |      8s |        -34.00643 |  |   0.796150 |   -38.20838 |
|  225/1000 |      8s |        -33.92661 |  |   0.793439 |   -38.18463 |
|  226/1000 |      8s |        -34.01657 |  |   0.781237 |   -36.68167 |
|  227/1000 |      8s |        -33.99073 |  |   0.786954 |   -36.11261 |
|  228/1000 |      8s |        -34.05446 |  |   0.789282 |   -37.37668 |
|  229/1000 |      8s |        -34.11590 |  |   0.795020 |   -38.01140 |
|  230/1000 |      8s |        -34.08534 |  |   0.792224 |   -37.29572 |
|  231/1000 |      8s |        -34.06196 |  |   0.796530 |   -37.63880 |
|  232/1000 |      8s |        -34.05824 |  |   0.793731 |   -37.93487 |
|  233/1000 |      8s |        -34.07751 |  |   0.793440 |   -37.00261 |
|  234/1000 |      8s |        -34.06095 |  |   0.795498 |   -37.31613 |
|  235/1000 |      8s |        -34.16920 |  |   0.792479 |   -37.78147 |
|  236/1000 |      8s |        -34.14239 |  |   0.791650 |   -37.08745 |
|  237/1000 |      8s |        -34.14852 |  |   0.794000 |   -37.91789 |
|  238/1000 |      8s |        -34.18412 |  |   0.798703 |   -38.25988 |
|  239/1000 |      8s |        -34.12508 |  |   0.787968 |   -37.49751 |
|  240/1000 |      8s |        -34.14804 |  |   0.795739 |   -37.63415 |
|  241/1000 |      8s |        -34.20111 |  |   0.795606 |   -37.98595 |
|  242/1000 |      8s |        -34.23821 |  |   0.790297 |   -37.41800 |
|  243/1000 |      8s |        -34.21159 |  |   0.796814 |   -38.08083 |
|  244/1000 |      8s |        -34.26210 |  |   0.795003 |   -36.35771 |
|  245/1000 |      8s |        -34.19324 |  |   0.793179 |   -38.02220 |
|  246/1000 |      8s |        -34.23226 |  |   0.788523 |   -37.05790 |
|  247/1000 |      8s |        -34.23460 |  |   0.797832 |   -38.30762 |
|  248/1000 |      8s |        -34.32100 |  |   0.796299 |   -38.23969 |
|  249/1000 |      8s |        -34.34341 |  |   0.793033 |   -37.44111 |
|  250/1000 |      8s |        -34.34862 |  |   0.793785 |   -38.18184 |
|  251/1000 |      8s |        -34.19902 |  |   0.796216 |   -38.29685 |
|  252/1000 |      8s |        -34.33456 |  |   0.794567 |   -38.03263 |
|  253/1000 |      8s |        -34.34625 |  |   0.797178 |   -38.17189 |
|  254/1000 |      8s |        -34.37740 |  |   0.798879 |   -38.36705 |
|  255/1000 |      8s |        -34.26838 |  |   0.794451 |   -38.14072 |
|  256/1000 |      8s |        -34.45559 |  |   0.793483 |   -37.97946 |
|  257/1000 |      8s |        -34.35062 |  |   0.797436 |   -38.51961 |
