Selected mat file:
otherR/R_12.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  266/1000 |      8s |        -42.22506 |  |   0.826662 |   -45.39305 |
|  267/1000 |      8s |        -42.16766 |  |   0.823961 |   -44.95678 |
|  268/1000 |      8s |        -42.31862 |  |   0.823786 |   -44.72673 |
|  269/1000 |      8s |        -42.31194 |  |   0.825335 |   -45.72094 |
|  270/1000 |      8s |        -42.28724 |  |   0.824224 |   -43.72212 |
|  271/1000 |      8s |        -42.20557 |  |   0.825358 |   -46.07394 |
|  272/1000 |      8s |        -42.31509 |  |   0.822820 |   -44.20626 |
|  273/1000 |      8s |        -42.29717 |  |   0.824227 |   -45.46708 |
|  274/1000 |      8s |        -42.29402 |  |   0.825092 |   -45.84863 |
|  275/1000 |      8s |        -42.40001 |  |   0.825202 |   -45.35024 |
|  276/1000 |      8s |        -42.42321 |  |   0.824011 |   -45.23447 |
|  277/1000 |      8s |        -42.31733 |  |   0.823813 |   -44.81500 |
|  278/1000 |      8s |        -42.34930 |  |   0.825160 |   -46.04605 |
|  279/1000 |      8s |        -42.37251 |  |   0.824798 |   -44.98883 |
|  280/1000 |      8s |        -42.36735 |  |   0.824744 |   -45.91341 |
|  281/1000 |      8s |        -42.40241 |  |   0.826267 |   -44.70687 |
|  282/1000 |      8s |        -42.35554 |  |   0.824532 |   -45.71959 |
|  283/1000 |      8s |        -42.46064 |  |   0.825828 |   -45.51185 |
|  284/1000 |      8s |        -42.44059 |  |   0.825149 |   -45.73000 |
|  285/1000 |      8s |        -42.41846 |  |   0.824418 |   -45.80099 |
|  286/1000 |      8s |        -42.32349 |  |   0.825814 |   -44.82164 |
|  287/1000 |      8s |        -42.52413 |  |   0.824647 |   -45.96151 |
|  288/1000 |      8s |        -42.57151 |  |   0.824715 |   -45.42709 |
|  289/1000 |      8s |        -42.36419 |  |   0.824789 |   -44.81317 |
|  290/1000 |      8s |        -42.57180 |  |   0.824681 |   -43.82360 |
|  291/1000 |      8s |        -42.55648 |  |   0.823877 |   -45.22317 |
|  292/1000 |      8s |        -42.47859 |  |   0.822978 |   -46.22429 |
|  293/1000 |      8s |        -42.54695 |  |   0.824446 |   -45.77756 |
|  294/1000 |      8s |        -42.50952 |  |   0.825371 |   -46.05651 |
|  295/1000 |      8s |        -42.59215 |  |   0.823853 |   -46.21369 |
|  296/1000 |      8s |        -42.64103 |  |   0.824602 |   -45.94737 |
|  297/1000 |      8s |        -42.73158 |  |   0.824887 |   -45.99284 |
|  298/1000 |      8s |        -42.63774 |  |   0.825395 |   -45.91423 |
|  299/1000 |      8s |        -42.68028 |  |   0.825260 |   -45.73814 |
|  300/1000 |      8s |        -42.62049 |  |   0.824613 |   -45.06812 |
|  301/1000 |      8s |        -43.03411 |  |   0.823752 |   -46.82606 |
|  302/1000 |      8s |        -43.15705 |  |   0.824513 |   -45.59173 |
|  303/1000 |      8s |        -43.19588 |  |   0.823313 |   -46.43628 |
|  304/1000 |      8s |        -43.20011 |  |   0.824204 |   -46.18915 |
|  305/1000 |      8s |        -43.11690 |  |   0.825250 |   -46.30895 |
|  306/1000 |      8s |        -43.14316 |  |   0.823624 |   -45.97431 |
|  307/1000 |      8s |        -43.22560 |  |   0.824152 |   -46.62345 |
|  308/1000 |      8s |        -43.22165 |  |   0.825034 |   -47.08649 |
|  309/1000 |      8s |        -43.24640 |  |   0.825662 |   -46.29376 |
|  310/1000 |      8s |        -43.16815 |  |   0.824348 |   -46.71791 |
|  311/1000 |      8s |        -43.18270 |  |   0.824491 |   -46.82807 |
